superseded_gcp_name_feb25,time_in_extended_iso,body_score,face_score,hands_score,body_in_image,face_in_image,hands_in_image,threshold_used
00220001_2024-02-05_1_57f12f7764,0:03:02,0.45,0.65,0.44,True,True,True,0.4
00220001_2024-02-05_1_57f12f7764,0:04:00,0.26,0.31,0.3,False,False,False,0.4
00220001_2024-02-05_1_57f12f7764,0:04:59,0.46,0.52,0.62,True,True,True,0.4
00220001_2024-02-05_1_57f12f7764,0:10:10,0.77,0.72,0.68,True,True,True,0.4
00220001_2024-02-05_1_bef2451726,0:10:31,0.9,0.99,0.92,True,True,True,0.4
00220001_2024-02-05_2_56eb318376,0:02:03,0.37,0.33,0.3,False,False,False,0.4
00220001_2024-02-05_2_56eb318376,0:02:29,0.65,0.58,0.68,True,True,True,0.4
00220001_2024-02-05_2_56eb318376,0:02:59,0.67,0.67,0.67,True,True,True,0.4
00220001_2024-02-05_2_56eb318376,0:03:10,0.5,0.58,0.56,True,True,True,0.4
00220001_2024-02-05_2_56eb318376,0:03:38,0.28,0.31,0.54,False,False,True,0.4
00220001_2024-02-05_2_56eb318376,0:04:55,0.44,0.41,0.39,True,True,False,0.4
00220001_2024-02-05_2_56eb318376,0:11:32,0.83,0.76,0.61,True,True,True,0.4
00220001_2024-02-05_2_e0769ef060,0:01:19,0.41,0.42,0.55,True,True,True,0.4
00220001_2024-02-05_2_e0769ef060,0:11:25,0.83,1.0,0.94,True,True,True,0.4
00220001_2024-02-05_3_48fb606360,0:07:28,0.34,0.42,0.39,False,True,False,0.4
00220001_2024-02-05_3_48fb606360,0:10:51,0.74,0.78,0.74,True,True,True,0.4
00220001_2024-02-05_3_9c21b9ace5,0:00:01,0.18,0.2,0.13,False,False,False,0.4
00220001_2024-02-05_3_9c21b9ace5,0:01:07,0.32,0.38,0.37,False,False,False,0.4
00220001_2024-02-05_3_9c21b9ace5,0:02:33,0.57,0.58,0.55,True,True,True,0.4
00220001_2024-02-05_3_9c21b9ace5,0:02:41,0.37,0.39,0.55,False,False,True,0.4
00220001_2024-02-05_3_9c21b9ace5,0:05:03,0.26,0.35,0.31,False,False,False,0.4
00220001_2024-02-06_1_76e528a693,0:01:25,0.86,0.99,0.98,True,True,True,0.4
00220001_2024-02-06_1_76e528a693,0:08:35,0.45,0.25,0.74,True,False,True,0.4
00220001_2024-02-06_1_76e528a693,0:10:37,0.9,1.0,1.0,True,True,True,0.4
00220001_2024-02-06_2_13fade47cc,0:08:16,0.83,0.86,0.86,True,True,True,0.4
00220001_2024-02-06_3_cb6491e5e4,0:00:15,0.67,0.59,0.56,True,True,True,0.4
00220001_2024-02-06_3_cb6491e5e4,0:00:33,0.59,0.61,0.39,True,True,False,0.4
00220001_2024-02-24_1_fc24ce9224,0:08:47,0.76,0.78,0.76,True,True,True,0.4
00220001_2024-02-24_2_1eba272d11,0:08:34,0.77,0.87,0.85,True,True,True,0.4
00220001_2024-02-24_2_c89207e309,0:00:53,0.61,0.82,0.81,True,True,True,0.4
00220001_2024-02-24_3_9628991f6d,0:01:10,0.33,0.24,0.75,False,False,True,0.4
00220001_2024-03-06_1_2a74025141,0:06:41,0.76,0.66,0.63,True,True,True,0.4
00220001_2024-03-06_1_2a74025141,0:08:50,0.81,0.88,0.88,True,True,True,0.4
00220001_2024-03-06_1_2a74025141,0:11:10,0.6,0.75,0.73,True,True,True,0.4
00220001_2024-03-06_2_3c7be5ff5c,0:01:55,0.74,0.85,0.83,True,True,True,0.4
00220001_2024-03-06_2_3c7be5ff5c,0:02:05,0.5,0.68,0.68,True,True,True,0.4
00220001_2024-03-06_2_3c7be5ff5c,0:10:33,0.28,0.16,0.61,False,False,True,0.4
