video_hashid,time_in_extended_iso,body_score,face_score,hands_score,body_in_image,face_in_image,hands_in_image,threshold_used
00220001_2024-02-24_1_fc24ce9224,0:03:13,0.25,0.29,0.27,False,False,False,0.4
00220001_2024-03-06_2_3c7be5ff5c,0:04:59,0.37,0.46,0.6,False,True,True,0.4
00220001_2024-03-06_2_3c7be5ff5c,0:08:39,0.45,0.49,0.48,True,True,True,0.4
00220001_2024-03-19_2_1da2057f02,0:00:22,0.34,0.38,0.26,False,False,False,0.4
00220001_2024-03-30_2_3fdb1b3622,0:11:30,0.17,0.2,0.2,False,False,False,0.4
00220001_2024-05-08_2_bcae75f8f3,0:02:19,0.89,0.92,0.91,True,True,True,0.4
00220001_2024-05-26_1_f2b5118b98,0:04:03,0.44,0.28,0.49,True,False,True,0.4
00220001_2024-05-26_2_85d5666822,0:00:31,0.24,0.26,0.24,False,False,False,0.4
00220001_2024-07-05_1_e8b6250682,0:09:58,0.48,0.55,0.26,True,True,False,0.4
00220001_2024-08-05_1_77e211eebe,0:09:59,0.42,0.27,0.97,True,False,True,0.4
00220001_2024-08-28_1_ec7478e4eb,0:00:38,0.9,0.97,0.95,True,True,True,0.4
00220001_2024-08-28_2_37a58c151b,0:01:23,0.56,0.67,0.66,True,True,True,0.4
00220001_2024-09-13_2_b7c80252e1,0:01:41,0.22,0.28,0.51,False,False,True,0.4
00220001_2024-09-18_1_8ea91e9de8,0:00:32,0.16,0.48,0.37,False,True,False,0.4
00220001_2024-09-18_2_1f75067b2f,0:01:04,0.33,0.39,0.38,False,False,False,0.4
00220001_2024-09-26_2_98e466e7c1,0:01:41,0.79,0.81,0.81,True,True,True,0.4
00220001_2024-10-09_1_bc6b698990,0:01:48,0.35,0.41,0.75,False,True,True,0.4
00220001_2024-11-07_1_9b56400ffe,0:04:50,0.16,0.18,0.14,False,False,False,0.4
00220001_2024-11-14_1_1d711c824f,0:00:59,0.14,0.18,0.22,False,False,False,0.4
00220001_2024-11-14_2_b4560c4d1b,0:01:49,0.26,0.29,0.24,False,False,False,0.4
00230001_2023-11-05_1_b8061aa951,0:03:25,0.29,0.42,0.37,False,True,False,0.4
00230001_2023-11-05_5_bf0a94e574,0:03:30,0.31,0.32,0.34,False,False,False,0.4
00230001_2023-12-10_2_a79f4237bb,0:07:56,0.29,0.33,0.3,False,False,False,0.4
00240001_2023-11-05_1_708bf351d3,0:00:15,0.3,0.17,0.76,False,False,True,0.4
00240001_2023-11-05_1_708bf351d3,0:05:12,0.33,0.24,0.66,False,False,True,0.4
00240001_2023-11-05_1_708bf351d3,0:16:11,0.22,0.21,0.19,False,False,False,0.4
00240001_2023-11-05_1_708bf351d3,0:17:58,0.52,0.52,0.5,True,True,True,0.4
00240001_2023-11-19_3_dafe04f2db,0:06:19,0.4,0.37,0.73,True,False,True,0.4
00240001_2023-11-20_1_718137a969,0:01:51,0.21,0.19,0.18,False,False,False,0.4
00240001_2023-11-25_1_816879891f,0:01:13,0.82,1.0,0.96,True,True,True,0.4
00240001_2023-11-26_2_35d3ee6295,0:03:20,0.84,0.95,0.93,True,True,True,0.4
00240001_2023-12-03_1_1a6d82f04c,0:12:15,0.27,0.14,0.41,False,False,True,0.4
00240001_2023-12-29_1_998f497bf4,0:06:13,1.03,1.07,1.05,True,True,True,0.4
00240001_2024-01-05_1_afe6cf55c4,0:00:12,0.2,0.18,0.23,False,False,False,0.4
00240001_2024-01-13_3_fcb9ed7353,0:08:33,0.18,0.31,0.21,False,False,False,0.4
00240001_2024-02-06_2_20a002f62b,0:11:17,0.41,0.14,0.7,True,False,True,0.4
00240001_2024-02-06_2_20a002f62b,0:14:29,0.55,0.23,0.71,True,False,True,0.4
00240001_2024-02-11_1_a8a22f0a7a,0:07:33,0.97,1.05,1.01,True,True,True,0.4
00240001_2024-02-18_2_143aef4889,0:09:54,0.61,0.88,0.82,True,True,True,0.4
00240001_2024-03-10_3_9a94b547dc,0:09:15,0.44,0.52,0.49,True,True,True,0.4
00240001_2024-03-17_2_4268b739c2,0:07:36,0.93,1.07,1.01,True,True,True,0.4
00240001_2024-03-17_4_e05ee3a929,0:09:06,0.15,0.33,0.32,False,False,False,0.4
00240001_2024-04-14_3_11e3f19fec,0:04:36,0.23,0.24,0.22,False,False,False,0.4
00240001_2024-04-21_3_a582f3bbdb,0:10:18,0.89,0.96,0.93,True,True,True,0.4
00240001_2024-04-28_3_d982fa38bc,0:04:52,0.91,0.99,0.97,True,True,True,0.4
00240001_2024-05-19_3_74a9e32e6f,0:03:19,0.24,0.31,0.3,False,False,False,0.4
00240001_2024-06-05_2_c29ec1fd6d,0:01:21,0.13,0.21,0.15,False,False,False,0.4
00240001_2024-06-05_3_275e142e5e,0:01:17,0.9,0.94,0.93,True,True,True,0.4
00240001_2024-06-05_3_275e142e5e,0:16:21,0.22,0.18,0.16,False,False,False,0.4
00240001_2024-06-16_1_24df82f2ad,0:07:17,0.93,1.06,1.04,True,True,True,0.4
00240001_2024-06-23_4_4d0958289b,0:13:21,0.35,0.44,0.51,False,True,True,0.4
00240001_2024-06-24_3_49e03fdc6d,0:08:36,0.94,0.99,0.94,True,True,True,0.4
00240001_2024-06-24_4_d106712b8e,0:10:05,0.18,0.28,0.15,False,False,False,0.4
00240001_2024-07-07_1_7c96f4c291,0:05:51,0.93,1.0,1.0,True,True,True,0.4
00240001_2024-07-07_2_50c9da173f,0:01:14,0.89,1.04,1.02,True,True,True,0.4
00240001_2024-07-12_2_2ae5376696,0:00:43,0.92,1.02,0.99,True,True,True,0.4
